time,close,high,low,open,volumefrom,volumeto
1515697440,1220.4,1222.98,1220.4,1222.42,398.55,485913.82
1515697500,1221.83,1221.85,1220.4,1220.4,401.92,490241.88
1515697560,1221.22,1222.72,1221.22,1221.83,317.26,387321.04
1515697620,1221.21,1221.35,1220.66,1221.22,237.18,288975.91
1515697680,1218.89,1221.56,1218.81,1221.21,764.26,931556.61
1515697740,1219.1,1219.12,1218.38,1218.89,211.24,257756.81
1515697800,1218.82,1219.1,1218.35,1219.1,824.93,1004711.94
1515697860,1216.32,1218.78,1215.71,1218.78,624.92,759041.91
1515697920,1213.64,1216.36,1213.36,1216.31,392.22,475756.31
1515697980,1211.72,1213.71,1211.12,1213.64,630.82,763616.21
1515698040,1208.96,1211.73,1208.93,1211.72,352.76,429175.21
1515698100,1209.68,1209.69,1208.67,1208.67,354.05,427858.44
1515698160,1210.24,1210.49,1209.56,1209.68,284.91,344920.49
1515698220,1211.11,1211.22,1209.79,1210.24,773.96,935839.67
1515698280,1214.38,1214.4,1211.11,1211.11,392.75,476258.15
1515698340,1213.35,1214.72,1212.98,1214.38,236.78,287002.96
1515698400,1211.86,1213.42,1211.7,1213.35,683.53,828722.7
1515698460,1211.93,1212.68,1211.79,1211.86,362.32,439000.73
1515698520,1209.94,1212.2,1209.49,1211.93,334.48,404881.57
1515698580,1206.74,1209.8,1206.57,1209.36,692.67,834994.13
1515698640,1206,1207.59,1205.45,1207.13,298.26,360549.62
1515698700,1204.21,1206.41,1203.92,1206,648.91,779695.69
1515698760,1202.76,1204.3,1202.38,1204.17,444.19,533160.06
1515698820,1201.56,1202.76,1200.82,1202.76,947.44,1139072.9
1515698880,1201.37,1201.69,1200.99,1201.49,351.28,421601.52
1515698940,1201.56,1201.65,1200.99,1201.37,161.3,195595.8
1515699000,1202.5,1202.5,1201.15,1201.57,477.48,575991.92
1515699060,1204.8,1204.8,1202.43,1202.5,512.65,616493.93
1515699120,1204.45,1205.35,1204.1,1204.8,264.89,319738.77
1515699180,1204.54,1204.75,1204.04,1204.44,107.45,129200.76
1515699240,1205.46,1205.58,1204.5,1204.54,179.67,216309.35
1515699300,1202.39,1206.68,1202.39,1206.11,315.14,379042.62
1515699360,1201.22,1202.74,1201.22,1201.66,267.92,322014.51
1515699420,1197.48,1201.55,1197.23,1201.49,711.92,851830.46
1515699480,1194.72,1197.96,1194.44,1197.48,417.81,500645.55
1515699540,1190.28,1195.31,1189.63,1194.72,934.83,1112404.25
1515699600,1188.89,1190.55,1188.86,1190.27,526.39,625921.93
1515699660,1186.56,1188.99,1186.56,1188.86,593.74,710333.69
1515699720,1185.69,1187,1185.4,1186.56,541.07,646464.6
1515699780,1184.01,1185.97,1183.38,1185.69,1481.41,1753806.79
1515699840,1180.71,1185.18,1179.95,1184.01,2184.24,2580941.93
1515699900,1180.22,1180.83,1179.23,1180.71,445.79,527771.41
1515699960,1174.76,1180.26,1174.76,1180.22,964.78,1133790.36
